;Database ID;Rekkefølge;V1: Hovedtype bruker;V2: Alder osv;REE;Ekstra energiforbruk;V3a/b: Arbeid/hovedaktivitet;V4: Fritid ;PAL arbeid;PAL fra fritid;PAL (sum);MJ/dag;kJ;kcal;KH (E %) (min);KH (E %) (max);Tilsatt sukker (E %) (max);Kostfiber (g) ;Kostfiber (g) ;Fett ( E %) ;Fett (E %);Mettet fett (E %) ; Transfett (E %);Enumettet fett ( E %) (min);Enumettet fett (E %)(max);Flerumettet fett (E %) (min);Flerumettet fett (E %)(max);Omega-3 (E %);Omega-6 (E %);Protein (E %) (min);Protein (E %) (max);Alkhol (g);Salt (g);Vitamin A;Vitamin D;Vitamin E;Tiamin;Riboflavin;Niacin;Niacinekvivalenter;Vitamin B6;Folat;Vitamin B12;Vitamin C;Kalsium;Jern;Kalium;Fosfor;Natrium (max);Magnesium;Sink;Kobber;Selen;Jod
;;;nutrient ID (matvaretabellen);;;;;;;;;;Energi1;Energi2;Karbo;Karbo;Sukker;Fiber;Fiber;Fett;Fett;Mettet;Trans;Enumet;Enumet;Flerum;Flerum;Omega-3;Omega-6;Protein;Protein;Alko;NaCl;Vit A;Vit D;Vit E;Vit B1;Vit B2;Niacin;;Vit B6;Folat;Vit B12;Vit C;Ca;Fe;K;P;Na;Mg;Zn;Cu;Se;I
;;;Grenser;;;;;;;;;;gjsn;gjsn;min;max;gjsn;min;max;min;max;gjsn;gjsn;min;max;min;max;gjsn;gjsn;min;max;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn
;63;49;Kvinne;61-74;5;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;8,3125;8312,5;1986,6875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;64;50;Kvinne;61-74;5;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;9,25;9250;2210,75;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;65;51;Kvinne;61-74;5;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;9,075;9075;2168,925;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;66;52;Kvinne;61-74;5;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;9,3125;9312,5;2225,6875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;67;53;Kvinne;61-74;5;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;10,25;10250;2449,75;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;68;54;Kvinne;61-74;5;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;11,075;11075;2646,925;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;69;55;Kvinne;61-74;5;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;11,3125;11312,5;2703,6875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;70;56;Kvinne;61-74;5;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;12,25;12250;2927,75;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;71;57;Kvinne;75+;4,92;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;5,658;5658;1352,262;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;72;58;Kvinne;75+;4,92;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;7,9458;7945,8;1899,0462;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;73;59;Kvinne;75+;4,92;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;8,1795;8179,5;1954,9005;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;74;60;Kvinne;75+;4,92;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;9,102;9102;2175,378;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;75;61;Kvinne;75+;4,92;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;8,9298;8929,8;2134,2222;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;76;62;Kvinne;75+;4,92;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;9,1635;9163,5;2190,0765;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;77;63;Kvinne;75+;4,92;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;10,086;10086;2410,554;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;78;64;Kvinne;75+;4,92;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;10,8978;10897,8;2604,5742;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;79;65;Kvinne;75+;4,92;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;11,1315;11131,5;2660,4285;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;80;66;Kvinne;75+;4,92;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;12,054;12054;2880,906;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;20;8;1;1,2;;;1,3;300;2;75;800;9;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;81;107;Gravid  ;Første trimester;5,8;0,43;SENGELIGGENDE/INAKTIV;;1,15;;1,15;7,1645;7164,5;1712,3155;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;82;108;Gravid  ;Første trimester;5,8;0,43;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;10,06145;10061,45;2404,68655;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;83;109;Gravid  ;Første trimester;5,8;0,43;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;10,357375;10357,375;2475,412625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;84;110;Gravid  ;Første trimester;5,8;0,43;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;11,5255;11525,5;2754,5945;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;85;111;Gravid  ;Første trimester;5,8;0,43;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;11,30745;11307,45;2702,48055;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;86;112;Gravid  ;Første trimester;5,8;0,43;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;11,603375;11603,375;2773,206625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;87;113;Gravid  ;Første trimester;5,8;0,43;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;12,7715;12771,5;3052,3885;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;88;114;Gravid  ;Første trimester;5,8;0,43;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;13,79945;13799,45;3298,06855;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;89;115;Gravid  ;Første trimester;5,8;0,43;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;14,095375;14095,375;3368,794625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;90;116;Gravid  ;Første trimester;5,8;0,43;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;15,2635;15263,5;3647,9765;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;91;117;Gravid  ;Andre trimester;5,8;1,375;SENGELIGGENDE/INAKTIV;;1,15;;1,15;8,25125;8251,25;1972,04875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;92;118;Gravid  ;Andre trimester;5,8;1,375;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;11,587625;11587,625;2769,442375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;93;119;Gravid  ;Andre trimester;5,8;1,375;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;11,9284375;11928,4375;2850,8965625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;94;120;Gravid  ;Andre trimester;5,8;1,375;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;13,27375;13273,75;3172,42625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;95;121;Gravid  ;Andre trimester;5,8;1,375;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;13,022625;13022,625;3112,407375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;96;122;Gravid  ;Andre trimester;5,8;1,375;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;13,3634375;13363,4375;3193,8615625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;97;123;Gravid  ;Andre trimester;5,8;1,375;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;14,70875;14708,75;3515,39125;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;98;124;Gravid  ;Andre trimester;5,8;1,375;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;15,892625;15892,625;3798,337375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;99;125;Gravid  ;Andre trimester;5,8;1,375;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;16,2334375;16233,4375;3879,7915625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;100;126;Gravid  ;Andre trimester;5,8;1,375;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;17,57875;17578,75;4201,32125;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;101;127;Gravid  ;Tredje trimester;5,8;2,245;SENGELIGGENDE/INAKTIV;;1,15;;1,15;9,25175;9251,75;2211,16825;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;102;128;Gravid  ;Tredje trimester;5,8;2,245;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;12,992675;12992,675;3105,249325;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;103;129;Gravid  ;Tredje trimester;5,8;2,245;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;13,3748125;13374,8125;3196,5801875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;104;130;Gravid  ;Tredje trimester;5,8;2,245;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;14,88325;14883,25;3557,09675;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;105;131;Gravid  ;Tredje trimester;5,8;2,245;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;14,601675;14601,675;3489,800325;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;106;132;Gravid  ;Tredje trimester;5,8;2,245;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;14,9838125;14983,8125;3581,1311875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;107;133;Gravid  ;Tredje trimester;5,8;2,245;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;16,49225;16492,25;3941,64775;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;108;134;Gravid  ;Tredje trimester;5,8;2,245;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;17,819675;17819,675;4258,902325;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;109;135;Gravid  ;Tredje trimester;5,8;2,245;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;18,2018125;18201,8125;4350,2331875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;110;136;Gravid  ;Tredje trimester;5,8;2,245;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;19,71025;19710,25;4710,74975;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;800;10;10;1,5;1,6;;;1,4;400;2;85;900;15;3100;700;<2300;280;9;1;60;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;111;137;Ammende;SENGELIGGENDE/INAKTIV;5,8;2,1;;;1,15;;1,15;9,085;9085;2171,315;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;112;138;Ammende;STILLESITTENDE ARBEID;5,8;2,1;LITE AKTIV mindre enn 2 timer trening per uke;;1,6;0,015;1,615;12,7585;12758,5;3049,2815;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;113;139;Ammende;STILLESITTENDE ARBEID;5,8;2,1;AKTIV 2-3 timer trening per uke;;1,6;0,0625;1,6625;13,13375;13133,75;3138,96625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;114;140;Ammende;STILLESITTENDE ARBEID;5,8;2,1;SVÆRT AKTIV mer enn 3 timer trening per uke;;1,6;0,25;1,85;14,615;14615;3492,985;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;115;141;Ammende;STÅENDE ARBEID;5,8;2,1;LITE AKTIV mindre enn 2 timer trening per uke;;1,8;0,015;1,815;14,3385;14338,5;3426,9015;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;116;142;Ammende;STÅENDE ARBEID;5,8;2,1;AKTIV 2-3 timer trening per uke;;1,8;0,0625;1,8625;14,71375;14713,75;3516,58625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;117;143;Ammende;STÅENDE ARBEID;5,8;2,1;SVÆRT AKTIV mer enn 3 timer trening per uke;;1,8;0,25;2,05;16,195;16195;3870,605;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;118;144;Ammende;FYSISK HARDT ARBEID;5,8;2,1;LITE AKTIV mindre enn 2 timer trening per uke;;2,2;0,015;2,215;17,4985;17498,5;4182,1415;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;119;145;Ammende;FYSISK HARDT ARBEID;5,8;2,1;AKTIV 2-3 timer trening per uke;;2,2;0,0625;2,2625;17,87375;17873,75;4271,82625;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;120;146;Ammende;FYSISK HARDT ARBEID;5,8;2,1;SVÆRT AKTIV mer enn 3 timer trening per uke;;2,2;0,25;2,45;19,355;19355;4625,845;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;;<6;1100;10;11;1,6;1,7;;;1,5;400;2,6;100;900;15;3100;900;<2300;280;11;1,3;60;200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;121;1;Spedbarn;6-11 mnd;;;;;;;;3,2;3200;764,8;45;60;<10;;;30;45;<10;<1;10;25;5;10;1;5;7;15;;<1,6;300;10;3;0,4;0,5;;;0,4;50;0,5;20;540;8;1100;420;<640;80;5;0,3;15;50
;122;2;Spedbarn;12-23 mnd;;;;;;;;4,1;4100;979,9;45;60;<10;;;30;40;<10;<1;10;20;5;10;1;5;10;15;;<2,1;300;10;4;0,5;0,6;;;0,5;60;0,6;25;600;8;1400;470;<820;85;5;0,3;20;70
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;123;15;Gutt;2-5 år;3,69;;Lavt aktivitetsnivå;;;;1,385;5,11;5110,65;1221,44535;45;60;<10;10;15;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;124;16;Gutt;2-5 år;3,69;;Gjennomsnittlig aktivitetsnivå;;;;1,48;5,46;5461,2;1305,2268;45;60;<10;11;16;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;125;17;Gutt;2-5 år;3,69;;Høyt aktivitetsnivå;;;;1,56;5,76;5756,4;1375,7796;45;60;<10;12;17;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;126;3;Jente;2-5 år;3,455;;Lavt aktivitetsnivå;;;;1,385;4,79;4785,175;1143,656825;45;60;<10;10;14;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;127;4;Jente;2-5 år;3,455;;Gjennomsnittlig aktivitetsnivå;;;;1,48;5,11;5113,4;1222,1026;45;60;<10;10;15;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;128;5;Jente;2-5 år;3,455;;Høyt aktivitetsnivå;;;;1,56;5,39;5389,8;1288,1622;45;60;<10;11;16;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;350;10;5;0,6;0,7;;;0,7;80;0,8;30;600;8;1800;470;<1400;120;6;0,4;25;90
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;129;18;Gutt;6-9 år;4,535;;Lavt aktivitetsnivå;;;;1,42;6,44;6439,7;1539,0883;45;60;<10;13;19;25;40;<10;<1;10;20;5;10;1;5;10;20;;<3,5;400;10;6;0,9;1,1;;;1;130;1,3;40;700;9;2000;540;<1400;200;7;0,5;30;120
